,film_id,title,cast,my_title,my_rating,budget,id,imdb_id,original_language,overview,poster_path,revenue,runtime,votes,imdb_rating,year,genre
0,0,21,"KEVIN SPACEY,KATE BOSWORTH",21,5.5,35000000,8065,tt0478087,en,"Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack.",/4zKAgycQDJD2zIkmPYV3aMR8tEy.jpg,69823199,123,204543,6.8,2008,CRIME
1,1,10 Things I Hate About You,"HEATH LEDGER ,JULIA STILES,ALLISON JANNEY",10 THINGS I HATE ABOUT YOU,8,16000000,4951,tt0147800,en,"Bianca, a tenth grader, has never gone on a date, but she isn't allowed to go out with boys until her older sister Kat gets a boyfriend. The problem is, Kat rubs nearly everyone the wrong way. But Bianca and the guy she has her eye on, Joey, are eager, so Joey fixes Kat up with Patrick, a new kid in town just bitter enough for Kat.",/paS5plbzKz3PYddxky6svYYz3hS.jpg,53478166,97,249592,7.2,1999,TEEN
2,2,10 Items or Less,MORGAN FREEMAN,10 ITEMS OR LESS,7,0,2357,tt0499603,en,"An actor who is considering the role of a supermarket manager arrives at a grocery store on the outskirts of Los Angeles to do some field research. He subsequently becomes stranded, without a car or cell phone, and accepts a ride home with Scarlet, a cashier who is about to interview for a new job. The actor rediscovers the essence of his craft while helping Scarlet gain the confidence she needs to change her life.",/zBKOY3fJNQZ88VNM7oLz1l7aBZF.jpg,580527,81,13403,6.7,2006,COMEDY
3,3,12 Angry Men,"LEE J. COBB,HENRY FONDA",12 ANGRY MEN,8.5,350000,389,tt0050083,en,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",/3W0v956XxSG5xgm7LB6qu8ExYJ2.jpg,1000000,96,526845,8.9,1957,DRAMA
4,4,27 Dresses,"KATHERINE HEIGL,JAMES MARDSEN",27 DRESSES,5,30000000,6557,tt0988595,en,Altruistic Jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man Jane secretly adores.,/gCuWcThDlxKjsoG1FoAgM6HmiR4.jpg,160259319,111,136000,6.1,2008,ROMCOM
5,5,50 First Dates,"ADAM SANDLER,DREW BARRYMORE",50 FIRST DATES,7,75000000,1824,tt0343660,en,"Henry is a player skilled at seducing women. But when this veterinarian meets Lucy, a girl with a quirky problem when it comes to total recall, he realizes it's possible to fall in love all over againÃ_Â¢ÂŒÃ_ÂŒ_and again, and again. That's because the delightful Lucy has no short-term memory, so Henry must woo her day after day until he finally sweeps her off her feet.",/vKKdsaq3OomDvFdpPpWVg0L6gB9.jpg,196482882,99,288304,6.8,2004,ROMCOM
6,6,(500) Days of Summer,ZOEY DESCHANEL,500 DAYS OF SUMMER,6.5,7500000,19913,tt1022603,en,"Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",/5SjtNPD1bb182vzQccvEUpXHFjN.jpg,60722734,95,416282,7.7,2009,ROMCOM
7,7,A Beautiful Mind,"RUSSELL CROWE,JENIFER CONNELY",A BEAUTIFUL MIND,7.8,60000000,453,tt0268978,en,"At Princeton University, John Nash struggles to make a worthwhile contribution to serve as his legacy to the world of mathematics. He finally makes a revolutionary breakthrough that will eventually earn him the Nobel Prize. After graduate school he turns to teaching, becoming romantically involved with his student Alicia. Meanwhile the government asks his help with breaking Soviet codes, which soon gets him involved in a terrifying conspiracy plot. Nash grows more and more paranoid until a discovery that turns his entire world upside down. Now it is only with Alicia's help that he will be able to recover his mental strength and regain his status as the great mathematician we know him as today..",/4SFqHDZ1NvWdysucWbgnYlobdxC.jpg,313542341,135,702124,8.2,2001,DRAMA
8,8,A Clockwork Orange,MALCOLM MACDOWELL,A CLOCKWORK ORANGE,8,2200000,185,tt0066921,en,"Demonic gang-leader Alex goes on the spree of rape, mugging and murder with his pack of ""droogs"". But he's a boy who also likes Beethoven's Ninth and a bit of ""the old in-out, in-out"". He later finds himself at the mercy of the state and its brainwashing experiment designed to take violence off the streets.",/kgAi87gyx6b4oGJYSC36tVkJyJu.jpg,26589000,136,630780,8.3,1971,CRIME
9,9,A Few Good Men,"TOM CRUISE,DEMI MOORE,KEVIN  BACON",A FEW GOOD MEN,6.5,40000000,881,tt0104257,en,"When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.",/WgWLwk55YaXFZdlMnPJTKlxGcz.jpg,243240178,138,200016,7.7,1992,DRAMA
